sex,degree,zodiac,sexfreq,sexorient,sociability,acqmark
female,graduate,aries,2-3 times a month,exclusively male,neither agree nor disagree,2-5
female,high school,taurus,not at all,exclusively male,strongly agree,2-5
male,bachelor,libra,not at all,both male and female,neither agree nor disagree,2-5
male,graduate,pisces,not at all,both male and female,agree,2-5
female,junior college,capricorn,not at all,exclusively male,agree,2-5
female,junior college,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,gemini,not at all,exclusively male,agree,2-5
female,bachelor,pisces,not at all,exclusively male,agree,2-5
female,high school,aries,once or twice,exclusively male,neither agree nor disagree,2-5
male,high school,virgo,once or twice,exclusively female,neither agree nor disagree,1
male,high school,virgo,2-3 times a month,exclusively female,neither agree nor disagree,2-5
male,bachelor,scorpio,not at all,both male and female,neither agree nor disagree,2-5
female,high school,taurus,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,leo,not at all,both male and female,neither agree nor disagree,1
female,high school,aquarius,2-3 times a month,exclusively male,neither agree nor disagree,2-5
female,bachelor,libra,not at all,exclusively male,neither agree nor disagree,2-5
male,graduate,leo,weekly,exclusively male,neither agree nor disagree,2-5
female,bachelor,virgo,not at all,exclusively male,strongly agree,2-5
male,bachelor,taurus,2-3 per week,exclusively female,neither agree nor disagree,2-5
female,high school,libra,not at all,exclusively male,neither agree nor disagree,2-5
female,graduate,pisces,not at all,exclusively male,neither agree nor disagree,2-5
female,bachelor,gemini,not at all,exclusively male,strongly disagree,2-5
female,high school,pisces,not at all,exclusively male,neither agree nor disagree,2-5
male,high school,leo,not at all,both male and female,neither agree nor disagree,2-5
male,high school,virgo,not at all,both male and female,neither agree nor disagree,2-5
female,high school,aquarius,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,cancer,not at all,both male and female,neither agree nor disagree,2-5
female,graduate,capricorn,once a month,exclusively male,neither agree nor disagree,2-5
female,bachelor,pisces,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,high school,gemini,2-3 per week,exclusively male,neither agree nor disagree,2-5
female,bachelor,cancer,not at all,exclusively male,neither agree nor disagree,2-5
male,bachelor,capricorn,once a month,exclusively female,neither agree nor disagree,2-5
female,graduate,sagittarius,not at all,exclusively male,neither agree nor disagree,2-5
female,graduate,leo,not at all,exclusively male,neither agree nor disagree,2-5
female,lt high school,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,aries,not at all,exclusively male,strongly agree,2-5
female,lt high school,libra,not at all,exclusively male,agree,2-5
female,high school,libra,2-3 per week,exclusively male,neither agree nor disagree,2-5
male,high school,capricorn,not at all,both male and female,neither agree nor disagree,0
female,high school,taurus,once or twice,exclusively male,neither agree nor disagree,2-5
female,bachelor,scorpio,once or twice,exclusively male,neither agree nor disagree,2-5
male,high school,pisces,4+ per week,exclusively female,neither agree nor disagree,2-5
female,bachelor,libra,2-3 times a month,exclusively male,neither agree nor disagree,2-5
female,junior college,gemini,not at all,exclusively male,neither agree nor disagree,2-5
male,lt high school,aries,not at all,both male and female,agree,2-5
female,high school,scorpio,not at all,exclusively male,neither agree nor disagree,2-5
female,high school,cancer,not at all,exclusively male,strongly agree,2-5
male,high school,taurus,not at all,both male and female,agree,2-5
male,lt high school,capricorn,not at all,both male and female,neither agree nor disagree,2-5
female,high school,capricorn,not at all,exclusively male,agree,2-5
male,high school,libra,not at all,both male and female,neither agree nor disagree,2-5
male,high school,taurus,2-3 per week,exclusively female,neither agree nor disagree,0
male,high school,pisces,not at all,both male and female,agree,2-5
female,high school,pisces,not at all,exclusively male,neither agree nor disagree,2-5
male,junior college,cancer,not at all,both male and female,strongly agree,2-5
male,bachelor,virgo,not at all,both male and female,neither agree nor disagree,2-5
male,lt high school,gemini,not at all,both male and female,neither agree nor disagree,2-5
female,high school,gemini,not at all,exclusively male,neither agree nor disagree,2-5
female,bachelor,taurus,not at all,exclusively male,strongly agree,2-5
male,graduate,capricorn,2-3 per week,exclusively female,neither agree nor disagree,more than 10
male,bachelor,cancer,not at all,both male and female,agree,2-5
